subj_id,statement,face,selected_face,rt,correct,cat_chosen,cat_correct,within_error,between_error,face_model,face_model_id,trustworthiness,dominance
1,The more he talked - the more it became evident that this was just a power play for him. He wanted to dominate the conversation and control the narrative. I refused to be a pawn in his silly game.,CFD-WM-020-001-N.jpg,CFD-BM-032-024-N.jpg,,0,B,W,0,1,WM-020,WM-020,3.068181818,2.592592593
1,I don't know. He did seem a bit worked up. I was trying to think of when that might have happened - but honestly - nothing came to mind.,CFD-BM-004-002-N.jpg,CFD-WM-238-020-N.jpg,,0,W,B,0,1,BM-004,BM-004,3.178294574,2.6953125
1,I tried hard not to engage too much - but he kept pushing and pushing - making a big scene out of it. It was getting embarrassing - to be honest.,CFD-BM-043-071-N.jpg,CFD-WM-238-020-N.jpg,,0,W,B,0,1,BM-043,BM-043,4.170454545,3.708333333
1,I wanted to just walk away. It wasn't worth wasting any more of my time on a pointless argument. I figured he had his issues - and I didn't need to be a part of it.,CFD-WM-225-127-N.jpg,CFD-WM-225-127-N.jpg,,1,W,W,0,0,WM-225,WM-225,3.703703704,3.107142857
1,Yeah they were supposed to be there. Their car broke down on the highway - and that was a real headache. They'd never had car trouble like that before. Sucks.,CFD-WM-225-127-N.jpg,CFD-BM-043-071-N.jpg,,0,B,W,0,1,WM-225,WM-225,3.703703704,3.107142857
1,"Yeah. My friends were there too - and they were just looking very dumbfounded. He said ""That's not what I heard - it doesn't sound right to me."" I agreed.",CFD-BM-216-088-N.jpg,CFD-BM-216-088-N.jpg,,1,B,B,0,0,BM-216,BM-216,3.851851852,2.576923077
1,I was a bit puzzled - it was pretty out of the blue. I headed out when I heard my phone ring. They seemed hesitant - not quite sure of their intentions. Perhaps just catching up.,CFD-BM-043-071-N.jpg,CFD-BM-043-071-N.jpg,,1,B,B,0,0,BM-043,BM-043,4.170454545,3.708333333
1,He kept going on and on and wouldn't stop talking about it in front of everyone. I couldn't recall any such thing happening - and it was just getting pretty confusing.,CFD-WM-238-020-N.jpg,CFD-BM-004-002-N.jpg,,0,B,W,0,1,WM-238,WM-238,3.0,3.318181818
1,We met up for drinks afterwards - we all agreed that it was the most random and unnecessary argument we'd ever been dragged into. I don't even remember what it was about.,CFD-WM-238-020-N.jpg,CFD-WM-225-127-N.jpg,,0,W,W,1,0,WM-238,WM-238,3.0,3.318181818
1,The weather forecast said it would rain that day so I brought an umbrella. It's a good thing I did because it started pouring hours later. My friend on the other hand was not so lucky.,CFD-BM-216-088-N.jpg,CFD-BM-216-088-N.jpg,,1,B,B,0,0,BM-216,BM-216,3.851851852,2.576923077
1,He kept going on and on - raising his voice for no reason. It was like talking to a brick wall. I tried to keep my cool - but it was getting hard. This guy was pushing all the wrong buttons.,CFD-WM-020-001-N.jpg,CFD-WM-236-072-N.jpg,,0,W,W,1,0,WM-020,WM-020,3.068181818,2.592592593
1,Yeah and it wasn't cheap either. It wasn't the worst thing ever - but it definitely was not worth the money I paid for it. Probably won't be going back there anytime soon.,CFD-BM-032-024-N.jpg,CFD-BM-032-024-N.jpg,,1,B,B,0,0,BM-032,BM-032,3.659090909,3.304347826
1,It was pointless. The more I tried to reason with him - the angrier he got. It was like he was just looking for a fight. I couldn't believe how heated things were getting over nothing.,CFD-BM-216-088-N.jpg,CFD-WM-020-001-N.jpg,,0,W,B,0,1,BM-216,BM-216,3.851851852,2.576923077
1,He threw around accusations like confetti - hoping something would stick. I stood my ground - refusing to let his baseless claims shake me. It was like arguing with a stubborn child.,CFD-WM-020-001-N.jpg,CFD-WM-225-127-N.jpg,,0,W,W,1,0,WM-020,WM-020,3.068181818,2.592592593
1,Yeah. I checked my watch - and it was way past the time I was supposed to leave. I rushed out - hoping that no one would mind.,CFD-WM-236-072-N.jpg,CFD-WM-236-072-N.jpg,,1,W,W,0,0,WM-236,WM-236,3.0,1.56
1,It's not all bad. It can get pretty windy this time of year - but the summers are delightful. Never been much of a winter guy anyways.,CFD-BM-004-002-N.jpg,CFD-BM-004-002-N.jpg,,1,B,B,0,0,BM-004,BM-004,3.178294574,2.6953125
1,"The whole room was watching - and it was clear he was just looking for attention. I wasn't about to let him make a scene. I shot back - ""You need to chill out and stop making a fool of yourself."" ",CFD-BM-032-024-N.jpg,CFD-BM-032-024-N.jpg,,1,B,B,0,0,BM-032,BM-032,3.659090909,3.304347826
1,"""You're back - and let's see what today brings. Hopefully - nothing goes wrong this time -"" they commented. What's the use of investing time if it never works out?",CFD-WM-238-020-N.jpg,CFD-WM-238-020-N.jpg,,1,W,W,0,0,WM-238,WM-238,3.0,3.318181818
1,It was great. We got to do a lot of exploring and generally just things we haven't done for a while. It was quite a memorable way to spend my weekend.,CFD-BM-043-071-N.jpg,CFD-WM-236-072-N.jpg,,0,W,B,0,1,BM-043,BM-043,4.170454545,3.708333333
1,I suppose. It made me appreciate the simple - drama-free moments in life. Who needs all this drama when there are way better and more important things to focus on?,CFD-WM-236-072-N.jpg,CFD-BM-043-071-N.jpg,,0,B,W,0,1,WM-236,WM-236,3.0,1.56
1,"I asked him straight up - ""What's your problem?"" He started rambling about some imaginary slight - making no sense whatsoever. I couldn't follow his logic - and it just fueled the fire.",CFD-WM-225-127-N.jpg,CFD-WM-225-127-N.jpg,,1,W,W,0,0,WM-225,WM-225,3.703703704,3.107142857
1,I didn't follow what they were saying - it was pretty unclear. I glanced at my phone for a while. They seemed unsure about what to do next. I didn't even know.,CFD-WM-236-072-N.jpg,CFD-WM-238-020-N.jpg,,0,W,W,1,0,WM-236,WM-236,3.0,1.56
1,I was annoyed for the whole day after. But at the same time - I couldn't help but laugh at how absurd and funny the whole situation turned out to be.,CFD-BM-004-002-N.jpg,CFD-BM-004-002-N.jpg,,1,B,B,0,0,BM-004,BM-004,3.178294574,2.6953125
1,Yeah. They were all trying to calm him down - but he wasn't having it. He was determined to make me out to be the bad guy in front of everyone. Very frustrating.,CFD-BM-032-024-N.jpg,CFD-BM-032-024-N.jpg,,1,B,B,0,0,BM-032,BM-032,3.659090909,3.304347826
1,"""I offered to help - but you know how it goes -"" he said - throwing up his hands in frustration. ""They insist they've got it all figured out - and then everything goes haywire."" ",CFD-WM-230-131-N.jpg,CFD-WM-230-131-N.jpg,,1,W,W,0,0,WM-230,WM-230,3.392857143,2.678571429
1,"""It's the same routine every time -"" they said. ""They swoop in - create chaos - and vanish - leaving us to pick up the pieces."" ",CFD-WM-223-056-N.jpg,CFD-WM-223-056-N.jpg,,1,W,W,0,0,WM-223,WM-223,3.0,4.36
1,The tension in the room was thick - and it felt like the whole world was against me. I wished we could find a way to end the argument and move on.,CFD-BM-020-001-N.jpg,CFD-BM-209-088-N.jpg,,0,B,B,1,0,BM-020,BM-020,3.779069767,2.416666667
1,Yeah. It all kicked off with a silly misunderstanding. Simple as that. But somehow - it snowballed into something much much more complicated than it needed to be.,CFD-BM-207-024-N.jpg,CFD-BM-046-006-N.jpg,,0,B,B,1,0,BM-207,BM-207,3.607142857,2.851851852
1,"He kept going on and on about how he's an expert in everything - and I'm thinking - ""Dude - you're not the boss of me."" I couldn't believe the nerve.",CFD-WM-230-131-N.jpg,CFD-WM-230-131-N.jpg,,1,W,W,0,0,WM-230,WM-230,3.392857143,2.678571429
1,We disagreed on something so mundane. But instead of finding common ground - it turned into a blame game. Stubbornness took over - reason abandoned. It turned into a big conflict.,CFD-BM-209-088-N.jpg,CFD-BM-020-001-N.jpg,,0,B,B,1,0,BM-209,BM-209,3.607142857,3.071428571
1,No I didn't want to deny it. Sometimes - you just have to say when you are defeated. I had no other choice that time.,CFD-WM-223-056-N.jpg,CFD-WM-223-056-N.jpg,,1,W,W,0,0,WM-223,WM-223,3.0,4.36
1,I did. I tried to hit him with facts - you know - prove him wrong. But he wasn't having any of it. Stubborn as a mule - that guy.,CFD-BM-046-006-N.jpg,CFD-BM-046-006-N.jpg,,1,B,B,0,0,BM-046,BM-046,3.494252874,3.565217391
1,Yeah I also enjoy painting. Nothing too elaborate - just some simple canvases and a set of basic acrylics. It's a therapeutic way to unwind - and I'm not aiming for perfection—just enjoying the process of creating something visually pleasing.,CFD-WM-031-003-N.jpg,CFD-WM-031-003-N.jpg,,1,W,W,0,0,WM-031,WM-031,3.390804598,2.928571429
